Generation: 1 | -2.10237 1.48575  | Fitness: -1.99718
Generation: 2 | -4.9808 1.48352  | Fitness: -1.99464
Generation: 3 | 3.7973 -2.28257  | Fitness: -1.99403
Generation: 4 | 1.3298 1.32246  | Fitness: -1.99569
Generation: 5 | -3.45739 -1.4955  | Fitness: -1.99951
Generation: 6 | 3.51803 1.59577  | Fitness: -1.99436
Generation: 7 | -2.56742 -2.53277  | Fitness: -1.99897
Generation: 8 | 3.47132 3.60205  | Fitness: -1.99957
Generation: 9 | 3.97753 2.49341  | Fitness: -1.99786
Generation: 10 | -2.52266 -0.242785  | Fitness: -1.99912
Generation: 11 | -2.59378 -1.98645  | Fitness: -1.99379
Generation: 12 | -1.86845 -1.96541  | Fitness: -1.99922
Generation: 13 | -1.86845 -1.96541  | Fitness: -1.99922
Generation: 14 | -2.65385 0.496313  | Fitness: -1.99804
Generation: 15 | -2.65385 0.496313  | Fitness: -1.99804
Generation: 16 | 0.647062 1.22588  | Fitness: -1.99874
Generation: 17 | -2.78721 -1.89475  | Fitness: -1.96519
Generation: 18 | 0.581924 1.15107  | Fitness: -1.99598
Generation: 19 | -2.54764 -2.19398  | Fitness: -1.99794
Generation: 20 | 0.497476 1.06112  | Fitness: -1.9781
Generation: 21 | 0.497476 1.06112  | Fitness: -1.9781
Generation: 22 | 0.315056 0.885425  | Fitness: -1.99759
Generation: 23 | -1.42392 -1.29375  | Fitness: -1.99339
Generation: 24 | 0.237272 0.796202  | Fitness: -1.9985
Generation: 25 | 0.353601 0.0846667  | Fitness: -1.99993
Generation: 26 | 0.353601 0.0846667  | Fitness: -1.99993
Generation: 27 | -2.26824 -1.77357  | Fitness: -1.99997
Generation: 28 | -4.6107 -3.42698  | Fitness: -1.99513
Generation: 29 | -2.23704 -1.76151  | Fitness: -1.999
Generation: 30 | -1.39752 -1.13056  | Fitness: -1.99957
Generation: 31 | -4.47978 -3.52779  | Fitness: -1.99154
Generation: 32 | -4.48644 -3.33917  | Fitness: -1.99993
