Generation: 1 | 2.22855 0.723723  | Fitness: -4.38225
Generation: 2 | 2.20947 0.767052  | Fitness: -4.60195
Generation: 3 | 2.14053 1.19309  | Fitness: -4.63141
Generation: 4 | 2.06113 1.16663  | Fitness: -4.77968
Generation: 5 | 1.96095 1.11456  | Fitness: -4.984
Generation: 6 | 1.90415 1.0249  | Fitness: -5.01647
Generation: 7 | 1.90415 1.0249  | Fitness: -5.01647
Generation: 8 | 1.90415 1.0249  | Fitness: -5.01647
Generation: 9 | 1.95849 1.09577  | Fitness: -5.01656
Generation: 10 | 1.90834 0.977961  | Fitness: -5.04389
Generation: 11 | 1.85434 0.982445  | Fitness: -4.96971
Generation: 12 | 1.89661 0.995858  | Fitness: -5.02378
Generation: 13 | 1.90321 0.996244  | Fitness: -5.03541
Generation: 14 | 1.90963 0.970842  | Fitness: -5.04251
Generation: 15 | 1.90963 0.970842  | Fitness: -5.04251
Generation: 16 | 1.90661 0.968895  | Fitness: -5.0369
Generation: 17 | 1.90661 0.968895  | Fitness: -5.0369
Generation: 18 | 1.9233 0.955555  | Fitness: -5.0479
Generation: 19 | 1.92064 0.95427  | Fitness: -5.04273
Generation: 20 | 1.92064 0.95427  | Fitness: -5.04273
Generation: 21 | 1.92356 0.955118  | Fitness: -5.04771
Generation: 22 | 1.92128 0.976837  | Fitness: -5.06394
Generation: 23 | 1.91794 0.974484  | Fitness: -5.05735
Generation: 24 | 1.91587 0.973306  | Fitness: -5.05346
Generation: 25 | 1.91175 0.971589  | Fitness: -5.04614
Generation: 26 | 1.90843 0.969258  | Fitness: -5.03977
Generation: 27 | 1.90843 0.969258  | Fitness: -5.03977
Generation: 28 | 1.90311 0.966335  | Fitness: -5.03029
Generation: 29 | 1.90311 0.966335  | Fitness: -5.03029
Generation: 30 | 1.99232 0.96418  | Fitness: -5.13257
Generation: 31 | 1.99232 0.96418  | Fitness: -5.13257
Generation: 32 | 1.99072 0.964844  | Fitness: -5.13278
Generation: 33 | 2.02127 0.992788  | Fitness: -5.15308
Generation: 34 | 1.98632 1.01729  | Fitness: -5.15486
Generation: 35 | 2.01313 0.989086  | Fitness: -5.1555
Generation: 36 | 2.01313 0.989086  | Fitness: -5.1555
Generation: 37 | 2.01245 1.00808  | Fitness: -5.16045
Generation: 38 | 2.01232 1.00769  | Fitness: -5.16051
Generation: 39 | 2.00895 1.00608  | Fitness: -5.16148
Generation: 40 | 2.00343 1.00274  | Fitness: -5.16193
Generation: 41 | 2.00352 1.00279  | Fitness: -5.16194
Generation: 42 | 2.00379 1.00382  | Fitness: -5.16203
Generation: 43 | 2.00552 1.00424  | Fitness: -5.16195
Generation: 44 | 2.00497 1.00362  | Fitness: -5.16195
Generation: 45 | 2.00481 1.00356  | Fitness: -5.16196
Generation: 46 | 2.00472 1.00352  | Fitness: -5.16196
Generation: 47 | 2.00472 1.00352  | Fitness: -5.16196
Generation: 48 | 2.00454 1.00343  | Fitness: -5.16196
Generation: 49 | 2.00454 1.00343  | Fitness: -5.16196
Generation: 50 | 2.00441 1.00336  | Fitness: -5.16196
Generation: 51 | 2.00427 1.00329  | Fitness: -5.16196
Generation: 52 | 2.00406 1.0029  | Fitness: -5.16193
Generation: 53 | 2.00256 1.0027  | Fitness: -5.16193
Generation: 54 | 2.00393 1.00281  | Fitness: -5.16193
Generation: 55 | 2.0037 1.00241  | Fitness: -5.16189
Generation: 56 | 2.00367 1.0024  | Fitness: -5.16189
