Generation: 1 | 2.55092 0.983548  | Fitness: -2.41539
Generation: 2 | 2.16913 0.851965  | Fitness: -4.77426
Generation: 3 | 2.15525 0.787085  | Fitness: -4.8173
Generation: 4 | 2.13922 0.832812  | Fitness: -4.85993
Generation: 5 | 2.12583 0.76826  | Fitness: -4.87083
Generation: 6 | 2.12294 0.771471  | Fitness: -4.87978
Generation: 7 | 2.08417 0.772872  | Fitness: -4.91938
Generation: 8 | 2.05544 0.731098  | Fitness: -4.82912
Generation: 9 | 2.08867 0.76729  | Fitness: -4.91111
Generation: 10 | 2.08854 0.767258  | Fitness: -4.91112
Generation: 11 | 2.08966 0.76788  | Fitness: -4.91151
Generation: 12 | 2.09076 0.768116  | Fitness: -4.91134
Generation: 13 | 2.088 0.765717  | Fitness: -4.90921
Generation: 14 | 2.08706 0.764329  | Fitness: -4.90754
Generation: 15 | 2.08706 0.764329  | Fitness: -4.90754
Generation: 16 | 2.08706 0.764329  | Fitness: -4.90754
Generation: 17 | 2.08404 0.775181  | Fitness: -4.92202
Generation: 18 | 2.08402 0.77485  | Fitness: -4.92166
Generation: 19 | 2.08402 0.77485  | Fitness: -4.92166
Generation: 20 | 2.08182 0.772747  | Fitness: -4.91963
Generation: 21 | 2.07925 0.769367  | Fitness: -4.91562
Generation: 22 | 2.07854 0.767255  | Fitness: -4.9128
Generation: 23 | 2.07854 0.767255  | Fitness: -4.9128
Generation: 24 | 2.07854 0.767255  | Fitness: -4.9128
Generation: 25 | 2.07854 0.767255  | Fitness: -4.9128
Generation: 26 | 2.08113 0.832822  | Fitness: -4.95312
Generation: 27 | 2.07737 0.828032  | Fitness: -4.9541
Generation: 28 | 2.07782 0.82919  | Fitness: -4.95421
Generation: 29 | 2.07767 0.82794  | Fitness: -4.95393
Generation: 30 | 2.07351 0.824134  | Fitness: -4.95435
Generation: 31 | 2.07351 0.824134  | Fitness: -4.95435
Generation: 32 | 2.07351 0.824134  | Fitness: -4.95435
Generation: 33 | 2.07032 0.822708  | Fitness: -4.95453
Generation: 34 | 2.07365 0.823094  | Fitness: -4.95394
Generation: 35 | 2.07365 0.823094  | Fitness: -4.95394
Generation: 36 | 2.07365 0.823094  | Fitness: -4.95394
Generation: 37 | 2.07365 0.823094  | Fitness: -4.95394
Generation: 38 | 2.07313 0.822916  | Fitness: -4.95401
Generation: 39 | 2.07191 0.822768  | Fitness: -4.95425
Generation: 40 | 2.07176 0.822596  | Fitness: -4.95422
Generation: 41 | 2.06865 0.821076  | Fitness: -4.95405
Generation: 42 | 2.06865 0.821076  | Fitness: -4.95405
Generation: 43 | 2.06865 0.821076  | Fitness: -4.95405
Generation: 44 | 2.06718 0.820869  | Fitness: -4.95404
Generation: 45 | 2.06718 0.820869  | Fitness: -4.95404
Generation: 46 | 2.06718 0.820869  | Fitness: -4.95404
Generation: 47 | 2.06708 0.820787  | Fitness: -4.954
Generation: 48 | 2.06706 0.820785  | Fitness: -4.954
Generation: 49 | 2.06706 0.820785  | Fitness: -4.954
Generation: 50 | 2.06703 0.820779  | Fitness: -4.954
Generation: 51 | 2.06697 0.820722  | Fitness: -4.95398
Generation: 52 | 2.0654 0.819913  | Fitness: -4.95358
Generation: 53 | 2.06534 0.81987  | Fitness: -4.95355
Generation: 54 | 2.06534 0.81987  | Fitness: -4.95355
Generation: 55 | 2.06534 0.81987  | Fitness: -4.95355
Generation: 56 | 2.06372 0.819049  | Fitness: -4.95301
Generation: 57 | 2.06354 0.818936  | Fitness: -4.95294
Generation: 58 | 2.06354 0.818936  | Fitness: -4.95294
Generation: 59 | 2.06333 0.818791  | Fitness: -4.95284
Generation: 60 | 2.06314 0.818642  | Fitness: -4.95273
Generation: 61 | 2.06314 0.818642  | Fitness: -4.95273
Generation: 62 | 2.06314 0.81864  | Fitness: -4.95273
Generation: 63 | 2.06299 0.818539  | Fitness: -4.95266
Generation: 64 | 2.06296 0.818524  | Fitness: -4.95265
Generation: 65 | 2.0628 0.818409  | Fitness: -4.95256
Generation: 66 | 2.06278 0.818359  | Fitness: -4.95253
Generation: 67 | 2.06271 0.818321  | Fitness: -4.9525
Generation: 68 | 2.06268 0.818309  | Fitness: -4.95249
Generation: 69 | 2.06268 0.818309  | Fitness: -4.95249
Generation: 70 | 2.06258 0.818221  | Fitness: -4.95243
Generation: 71 | 2.06256 0.818209  | Fitness: -4.95242
Generation: 72 | 2.06256 0.818209  | Fitness: -4.95242
Generation: 73 | 2.06235 0.818075  | Fitness: -4.95231
Generation: 74 | 2.06084 0.81728  | Fitness: -4.95158
Generation: 75 | 2.06084 0.81728  | Fitness: -4.95158
Generation: 76 | 2.06084 0.81728  | Fitness: -4.95158
Generation: 77 | 2.06084 0.81728  | Fitness: -4.95158
Generation: 78 | 2.06084 0.81728  | Fitness: -4.95158
Generation: 79 | 2.06062 0.817145  | Fitness: -4.95145
Generation: 80 | 2.06062 0.817145  | Fitness: -4.95145
Generation: 81 | 2.06052 0.817087  | Fitness: -4.95139
Generation: 82 | 2.06052 0.817087  | Fitness: -4.95139
Generation: 83 | 2.06048 0.817064  | Fitness: -4.95137
Generation: 84 | 2.06048 0.817064  | Fitness: -4.95137
Generation: 85 | 2.06045 0.817048  | Fitness: -4.95135
Generation: 86 | 2.06044 0.81704  | Fitness: -4.95135
Generation: 87 | 2.06044 0.81704  | Fitness: -4.95135
Generation: 88 | 2.06044 0.81704  | Fitness: -4.95135
Generation: 89 | 2.0604 0.817019  | Fitness: -4.95133
Generation: 90 | 2.0604 0.817019  | Fitness: -4.95133
Generation: 91 | 2.06037 0.817004  | Fitness: -4.95131
Generation: 92 | 2.06037 0.817002  | Fitness: -4.95131
Generation: 93 | 2.06036 0.816997  | Fitness: -4.9513
Generation: 94 | 2.06036 0.816997  | Fitness: -4.9513
Generation: 95 | 2.0603 0.816964  | Fitness: -4.95127
Generation: 96 | 2.06029 0.816959  | Fitness: -4.95126
Generation: 97 | 2.06029 0.816958  | Fitness: -4.95126
Generation: 98 | 2.06029 0.816958  | Fitness: -4.95126
Generation: 99 | 2.0602 0.816913  | Fitness: -4.95122
Generation: 100 | 2.0602 0.816912  | Fitness: -4.95122
Generation: 101 | 2.0602 0.816912  | Fitness: -4.95122
Generation: 102 | 2.06017 0.816896  | Fitness: -4.9512
Generation: 103 | 2.05994 0.816764  | Fitness: -4.95106
Generation: 104 | 2.05994 0.816764  | Fitness: -4.95106
Generation: 105 | 2.05993 0.81676  | Fitness: -4.95106
Generation: 106 | 2.05982 0.816703  | Fitness: -4.951
Generation: 107 | 2.05969 0.816616  | Fitness: -4.95091
Generation: 108 | 2.05969 0.816616  | Fitness: -4.95091
Generation: 109 | 2.05966 0.816599  | Fitness: -4.95089
Generation: 110 | 2.05966 0.816599  | Fitness: -4.95089
Generation: 111 | 2.05943 0.816463  | Fitness: -4.95075
Generation: 112 | 2.05937 0.816431  | Fitness: -4.95071
Generation: 113 | 2.05935 0.816416  | Fitness: -4.9507
Generation: 114 | 2.05932 0.816419  | Fitness: -4.95069
Generation: 115 | 2.05932 0.816418  | Fitness: -4.95069
Generation: 116 | 2.05932 0.816418  | Fitness: -4.95069
Generation: 117 | 2.05932 0.816418  | Fitness: -4.95069
Generation: 118 | 2.05932 0.816418  | Fitness: -4.95069
Generation: 119 | 2.05929 0.816402  | Fitness: -4.95067
Generation: 120 | 2.05923 0.816372  | Fitness: -4.95064
Generation: 121 | 2.05923 0.81637  | Fitness: -4.95064
Generation: 122 | 2.0592 0.816351  | Fitness: -4.95062
Generation: 123 | 2.05919 0.816349  | Fitness: -4.95061
Generation: 124 | 2.05916 0.816332  | Fitness: -4.95059
Generation: 125 | 2.05905 0.816272  | Fitness: -4.95053
Generation: 126 | 2.05905 0.816271  | Fitness: -4.95052
Generation: 127 | 2.05905 0.816271  | Fitness: -4.95052
Generation: 128 | 2.05897 0.816231  | Fitness: -4.95048
Generation: 129 | 2.05893 0.816212  | Fitness: -4.95045
Generation: 130 | 2.05893 0.816209  | Fitness: -4.95045
Generation: 131 | 2.05893 0.816209  | Fitness: -4.95045
Generation: 132 | 2.05893 0.816209  | Fitness: -4.95045
Generation: 133 | 2.05893 0.816209  | Fitness: -4.95045
