Generation: 1 | 0.923345 0.150388  | Fitness: -2.54606
Generation: 2 | 2.96058 2.1131  | Fitness: -2.62845
Generation: 3 | 2.40727 1.21292  | Fitness: -3.64866
Generation: 4 | 2.41597 1.22689  | Fitness: -3.46646
Generation: 5 | 2.41597 1.22689  | Fitness: -3.46646
Generation: 6 | 2.29229 1.13016  | Fitness: -4.81926
Generation: 7 | 2.19797 1.05019  | Fitness: -4.8799
Generation: 8 | 2.11748 0.962027  | Fitness: -4.93556
Generation: 9 | 2.02761 0.886865  | Fitness: -5.00996
Generation: 10 | 2.02761 0.886865  | Fitness: -5.00996
Generation: 11 | 2.06029 0.900772  | Fitness: -5.01024
Generation: 12 | 2.06029 0.900772  | Fitness: -5.01024
Generation: 13 | 2.06029 0.900772  | Fitness: -5.01024
Generation: 14 | 2.00683 0.841535  | Fitness: -4.93012
Generation: 15 | 2.04816 0.856931  | Fitness: -4.97588
Generation: 16 | 2.05114 0.857605  | Fitness: -4.97631
Generation: 17 | 2.05038 0.857327  | Fitness: -4.97615
Generation: 18 | 2.04621 0.854365  | Fitness: -4.97354
Generation: 19 | 2.06184 0.789946  | Fitness: -4.93318
Generation: 20 | 2.10879 0.840421  | Fitness: -4.92024
Generation: 21 | 2.10796 0.838166  | Fitness: -4.92196
Generation: 22 | 2.10484 0.836569  | Fitness: -4.92709
Generation: 23 | 2.10197 0.83024  | Fitness: -4.93169
Generation: 24 | 2.10159 0.828176  | Fitness: -4.93228
Generation: 25 | 2.09909 0.828272  | Fitness: -4.93547
Generation: 26 | 2.09832 0.827076  | Fitness: -4.93639
Generation: 27 | 1.99716 0.781218  | Fitness: -4.84248
Generation: 28 | 2.0063 0.779376  | Fitness: -4.85538
Generation: 29 | 2.00602 0.778423  | Fitness: -4.85371
Generation: 30 | 2.03999 0.776234  | Fitness: -4.90011
Generation: 31 | 2.00379 0.777138  | Fitness: -4.8484
Generation: 32 | 2.00375 0.777136  | Fitness: -4.84833
Generation: 33 | 1.99998 0.775136  | Fitness: -4.83947
Generation: 34 | 1.9986 0.772996  | Fitness: -4.83436
Generation: 35 | 2.00626 0.772467  | Fitness: -4.8463
Generation: 36 | 2.00626 0.772467  | Fitness: -4.8463
Generation: 37 | 2.00604 0.77244  | Fitness: -4.84591
Generation: 38 | 2.00604 0.77244  | Fitness: -4.84591
Generation: 39 | 2.00475 0.770681  | Fitness: -4.84139
Generation: 40 | 2.00445 0.770258  | Fitness: -4.84032
Generation: 41 | 2.00408 0.770689  | Fitness: -4.84029
Generation: 42 | 2.00434 0.770195  | Fitness: -4.84004
Generation: 43 | 2.00413 0.770137  | Fitness: -4.83962
Generation: 44 | 2.00413 0.770122  | Fitness: -4.83959
Generation: 45 | 2.00413 0.770122  | Fitness: -4.83959
Generation: 46 | 2.00413 0.770117  | Fitness: -4.83958
Generation: 47 | 2.00412 0.770398  | Fitness: -4.83996
Generation: 48 | 2.00412 0.770398  | Fitness: -4.83996
Generation: 49 | 2.00412 0.770398  | Fitness: -4.83996
Generation: 50 | 2.00408 0.770372  | Fitness: -4.83986
Generation: 51 | 2.00408 0.770371  | Fitness: -4.83985
Generation: 52 | 2.00408 0.770371  | Fitness: -4.83985
Generation: 53 | 2.00404 0.770352  | Fitness: -4.83976
Generation: 54 | 2.00404 0.770352  | Fitness: -4.83976
Generation: 55 | 2.00402 0.770336  | Fitness: -4.83971
Generation: 56 | 2.00402 0.770336  | Fitness: -4.83971
Generation: 57 | 2.00401 0.770331  | Fitness: -4.83969
Generation: 58 | 2.00385 0.770257  | Fitness: -4.83933
Generation: 59 | 2.00385 0.770257  | Fitness: -4.83933
Generation: 60 | 2.00385 0.770253  | Fitness: -4.83932
Generation: 61 | 2.00385 0.770253  | Fitness: -4.83932
Generation: 62 | 2.00385 0.770253  | Fitness: -4.83932
Generation: 63 | 2.00384 0.770246  | Fitness: -4.83929
Generation: 64 | 2.00384 0.770245  | Fitness: -4.83928
Generation: 65 | 2.00383 0.770241  | Fitness: -4.83927
Generation: 66 | 2.00382 0.770237  | Fitness: -4.83925
Generation: 67 | 2.00382 0.770237  | Fitness: -4.83925
Generation: 68 | 2.00382 0.770237  | Fitness: -4.83925
Generation: 69 | 2.00382 0.770237  | Fitness: -4.83925
Generation: 70 | 2.0038 0.770221  | Fitness: -4.83918
Generation: 71 | 2.0038 0.770221  | Fitness: -4.83918
Generation: 72 | 2.0038 0.770221  | Fitness: -4.83918
Generation: 73 | 2.0038 0.770221  | Fitness: -4.83918
Generation: 74 | 2.0037 0.770173  | Fitness: -4.83896
Generation: 75 | 2.0037 0.770172  | Fitness: -4.83896
Generation: 76 | 2.0037 0.770172  | Fitness: -4.83896
Generation: 77 | 2.0037 0.770172  | Fitness: -4.83896
Generation: 78 | 2.00369 0.770167  | Fitness: -4.83894
Generation: 79 | 2.00369 0.770167  | Fitness: -4.83894
Generation: 80 | 2.00369 0.770167  | Fitness: -4.83894
Generation: 81 | 2.00364 0.770116  | Fitness: -4.83878
Generation: 82 | 2.00353 0.770082  | Fitness: -4.83856
Generation: 83 | 2.00353 0.770082  | Fitness: -4.83856
Generation: 84 | 2.00353 0.770079  | Fitness: -4.83854
Generation: 85 | 2.0033 0.769971  | Fitness: -4.83803
Generation: 86 | 2.00325 0.769946  | Fitness: -4.83791
Generation: 87 | 2.00325 0.769946  | Fitness: -4.83791
Generation: 88 | 2.00325 0.769946  | Fitness: -4.83791
Generation: 89 | 2.00318 0.769908  | Fitness: -4.83774
Generation: 90 | 2.00172 0.769152  | Fitness: -4.83429
Generation: 91 | 2.00172 0.769152  | Fitness: -4.83429
Generation: 92 | 2.00172 0.769152  | Fitness: -4.83429
Generation: 93 | 2.0017 0.76914  | Fitness: -4.83423
Generation: 94 | 2.00168 0.769128  | Fitness: -4.83418
Generation: 95 | 2.00165 0.769114  | Fitness: -4.83411
Generation: 96 | 2.00165 0.769113  | Fitness: -4.8341
Generation: 97 | 2.00165 0.769113  | Fitness: -4.8341
Generation: 98 | 2.00147 0.769027  | Fitness: -4.8337
Generation: 99 | 2.00147 0.769027  | Fitness: -4.8337
Generation: 100 | 2.00147 0.769027  | Fitness: -4.8337
Generation: 101 | 2.00144 0.76901  | Fitness: -4.83362
Generation: 102 | 1.99996 0.768271  | Fitness: -4.83015
Generation: 103 | 1.99996 0.768268  | Fitness: -4.83014
Generation: 104 | 1.99993 0.768254  | Fitness: -4.83008
Generation: 105 | 1.9999 0.768241  | Fitness: -4.83002
Generation: 106 | 1.9999 0.768241  | Fitness: -4.83002
Generation: 107 | 1.9999 0.768241  | Fitness: -4.83002
Generation: 108 | 1.99985 0.768213  | Fitness: -4.82988
Generation: 109 | 1.99979 0.768182  | Fitness: -4.82974
Generation: 110 | 1.99979 0.768182  | Fitness: -4.82974
Generation: 111 | 1.99979 0.768182  | Fitness: -4.82974
Generation: 112 | 1.99979 0.768182  | Fitness: -4.82974
Generation: 113 | 1.99979 0.768182  | Fitness: -4.82974
Generation: 114 | 1.99961 0.768093  | Fitness: -4.82932
Generation: 115 | 1.99961 0.768093  | Fitness: -4.82932
Generation: 116 | 1.99961 0.768093  | Fitness: -4.82932
Generation: 117 | 1.99961 0.768093  | Fitness: -4.82932
Generation: 118 | 1.9996 0.76809  | Fitness: -4.8293
Generation: 119 | 1.99957 0.768075  | Fitness: -4.82923
Generation: 120 | 1.99952 0.76805  | Fitness: -4.82912
Generation: 121 | 1.99944 0.768008  | Fitness: -4.82892
Generation: 122 | 1.99944 0.768008  | Fitness: -4.82892
Generation: 123 | 1.99944 0.768008  | Fitness: -4.82892
Generation: 124 | 1.99939 0.767983  | Fitness: -4.8288
Generation: 125 | 1.99934 0.767959  | Fitness: -4.82869
Generation: 126 | 1.99934 0.767959  | Fitness: -4.82869
Generation: 127 | 1.99927 0.767923  | Fitness: -4.82851
Generation: 128 | 1.99924 0.767911  | Fitness: -4.82846
Generation: 129 | 1.99913 0.767856  | Fitness: -4.82819
Generation: 130 | 1.99798 0.767295  | Fitness: -4.82551
Generation: 131 | 1.99798 0.767295  | Fitness: -4.82551
Generation: 132 | 1.99798 0.767295  | Fitness: -4.82551
Generation: 133 | 1.99795 0.76728  | Fitness: -4.82544
Generation: 134 | 1.99795 0.76728  | Fitness: -4.82544
Generation: 135 | 1.99793 0.767273  | Fitness: -4.8254
Generation: 136 | 1.99793 0.76727  | Fitness: -4.82539
Generation: 137 | 1.99792 0.767266  | Fitness: -4.82537
Generation: 138 | 1.99791 0.767263  | Fitness: -4.82535
Generation: 139 | 1.99788 0.767249  | Fitness: -4.82528
Generation: 140 | 1.99785 0.767235  | Fitness: -4.82521
Generation: 141 | 1.99784 0.767231  | Fitness: -4.82519
Generation: 142 | 1.99784 0.76723  | Fitness: -4.82519
Generation: 143 | 1.99784 0.76723  | Fitness: -4.82519
Generation: 144 | 1.99781 0.767214  | Fitness: -4.82512
